1.1.3.1	Pek. 1 m2 Pembersihan & Pengupasan Permukaan Tanah (Striping) sd Tanaman ∅ 2cm					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran B U.3.1.a (c) 					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.100	 152,900.00 	 15,290.00 
	 Mandor	L.04	OH	0.005	 230,000.00 	 1,150.00 
				 JUMLAH HARGA TENAGA KERJA		 16,440.00 
B	 BAHAN				  	  
				 JUMLAH HARGA BAHAN		 -   
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 16,440.00 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 16,440.00 
						
1.1.4.2	Pek. Pasangan 1 m1 Bouwplank					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran B U.1.2.1.d (a)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.012	 152,900.00 	 1,834.80 
	 Tukang Kayu	L.02	OH	0.006	 178,600.00 	 1,071.60 
	 Kepala Tukang	L.03	OH	0.001	 204,300.00 	 122.58 
	 Mandor	L.04	OH	0.001	 230,000.00 	 276.00 
				 JUMLAH HARGA TENAGA KERJA		 3,304.98 
B	 BAHAN					  
	 Kayu Kaso 5x7cm Kelas III	M.394	m3	0.013	 3,433,000.00 	 44,629.00 
	 Papan Kayu Kelas III	M.409	m3	0.007	 3,433,000.00 	 24,031.00 
	 Paku 2 - 5cm	M.56	Kg	0.020	 31,100.00 	 622.00 
				 JUMLAH HARGA BAHAN		 69,282.00 
C	 PERALATAN					  
	 Waterpass	M.1738	Hari	0.0060	 828,900.00 	 4,973.40 
				 JUMLAH HARGA ALAT		 4,973.40 
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 77,560.38 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 77,560.38 
						
1.1.2.4	Pek. Pembuatan 1 m2 Direksi Keet (Kantor) Los Kerja dan Gudang					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran Bidang Sumber Daya Air La.02					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	1.200	 152,900.00 	 183,480.00 
	 Tukang Batu	L.02	OH	0.400	 178,600.00 	 71,440.00 
	 Kepala Tukang	L.03	OH	0.040	 204,300.00 	 8,172.00 
	 Mandor	L.04	OH	0.120	 230,000.00 	 27,600.00 
				 JUMLAH HARGA TENAGA KERJA		 290,692.00 
B	 BAHAN				  	  
	 Kayu Kaso 5x7cm Kelas II	M.393	m3	0.350	 4,291,300.00 	 1,501,955.00 
	 Triplek 4mm	M.92	Lbr	1.000	 124,100.00 	 124,100.00 
	 Pondasi Pasangan Batu (Rollag Bata)	M.30	m3	0.170	 1,721,700.00 	 292,689.00 
	 GRC Pelat. t=4mm. Uk 122x244cm	M.143	Lbr	1.240	 100,200.00 	 124,248.00 
	 Paku	M.54	Kg	0.750	 31,100.00 	 23,325.00 
	 Asbes Gelombang	M.119	Lbr	0.300	 85,400.00 	 25,620.00 
	 Paku Asbes	M.60	Kg	0.100	 35,700.00 	 3,570.00 
	 Floor Lantai (Beton Lantai Kerja)	2.2.1.4.1	m3	0.150	 1,638,800.00 	 245,820.00 
	 Pintu Double Teakwood Rangka Kayu	M.186	m2	0.100	 542,000.00 	 54,200.00 
	 Frame Besi Kaca Naco	M.523	Daun	1.000	 95,600.00 	 95,600.00 
	 Cat Dinding/Plafond	3.8.10	m2	16.500		 -   
