Kode	Uraian	Satuan	 Harga 
L.01.01	Pekerja	OH	 Rp152,900 
L.02.01	Tukang	OH	 Rp178,600 
L.02.02	Tukang Alumunium	OH	 Rp178,600 
L.02.03	Tukang Batu	OH	 Rp178,600 
L.02.04	Tukang Kayu	OH	 Rp178,600 
L.02.05	Tukang Besi	OH	 Rp178,600 
L.02.06	Tukang Besi Konstruksi	OH	 Rp178,600 
L.02.07	Tukang Besi Profil	OH	 Rp178,600 
L.02.08	Tukang Cat	OH	 Rp178,600 
L.02.09	Tukang Ereksi	OH	 Rp178,600 
L.02.10	Tukang Las Konstruksi	OH	 Rp178,600 
L.02.11	Tukang Las	OH	 Rp178,600 
L.02.12	Tukang Listrik	OH	 Rp178,600 
L.02.13	Tukang Pipa	OH	 Rp178,600 
L.02.14	Tukang Vibrator	OH	 Rp178,600 
L.02.15	Tukang Tanam	OH	 Rp191,400 
L.02.16	Tukang Tembok	OH	 Rp178,600 
L.02.17	Tukang Pemelihara Taman	OH	 Rp176,300 
L.03.01	Kepala Tukang	OH	 Rp204,300 
L.04.01	Mandor	OH	 Rp230,000 
L.05.01	Juru Ukur	OH	 Rp223,000 
L.06.01	Pembantu Juru Ukur	OH	 Rp191,400 
L.08.01	Operator Alat Berat	OH	 Rp191,400 
L.08.02	Supir Truk	OH	 Rp223,000 
L.09.01	Pembantu Operator Alat Berat	OH	 Rp191,400 
L.09.02	Kenek Truk	OH	 Rp191,400 
L.10.01	Operator Crane	OH	 Rp191,400 
L.10.02	Pembantu Operator Crane	OH	 Rp191,400 
L.11.01	Operator Alat Pipa	OH	 Rp191,400 
L.11.02	Pembantu Operator Alat Pipa	OH	 Rp191,400 
L.12.04	Tenaga Ahli Pratama	OH	 Rp255,600 
L.13	Operator Alat Elektronik	OH	 Rp191,400 
L.14.02	Tenaga Terampil Operator	OH	 Rp255,600 
	Penjaga Malam	OH	 Rp152,900 
	Tukang Pasang Keramik	OH	 Rp178,600 
L.01.01	Pekerja	OJ	 Rp23,800 
L.02.01	Tukang	OJ	 Rp27,800 
L.02.02	Tukang Alumunium	OJ	 Rp27,800 
L.02.03	Tukang Batu	OJ	 Rp27,800 
L.02.04	Tukang Kayu	OJ	 Rp27,800 
L.02.05	Tukang Besi	OJ	 Rp27,800 
L.02.06	Tukang Besi Konstruksi	OJ	 Rp27,800 
L.02.07	Tukang Besi Profil	OJ	 Rp27,800 
L.02.08	Tukang Cat	OJ	 Rp27,800 
L.02.09	Tukang Ereksi	OJ	 Rp27,800 
L.02.10	Tukang Las Konstruksi	OJ	 Rp27,800 
L.02.11	Tukang Las	OJ	 Rp27,800 
L.02.12	Tukang Listrik	OJ	 Rp27,800 
L.02.13	Tukang Pipa	OJ	 Rp27,800 
L.02.14	Tukang Vibrator	OJ	 Rp27,800 
L.02.15	Tukang Tanam	OJ	 Rp29,800 
L.02.16	Tukang Tembok	OJ	 Rp27,800 
L.02.17	Tukang Pemelihara Taman	OJ	 Rp27,500 
L.03.01	Kepala Tukang	OJ	 Rp31,900 
L.04.01	Mandor	OJ	 Rp35,900 
L.05.01	Juru Ukur	OJ	 Rp34,900 
L.06.01	Pembantu Juru Ukur	OJ	 Rp29,800 
L.08.01	Operator Alat Berat	OJ	 Rp29,800 
L.08.02	Supir Truk	OJ	 Rp34,900 
L.09.01	Pembantu Operator Alat Berat	OJ	 Rp29,800 
L.09.02	Kenek Truk	OJ	 Rp29,800 
L.10.01	Operator Crane	OJ	 Rp29,800 
L.10.02	Pembantu Operator Crane	OJ	 Rp29,800 
L.11.01	Operator Alat Pipa	OJ	 Rp29,800 
L.11.02	Pembantu Operator Alat Pipa	OJ	 Rp29,800 
L.12.04	Tenaga Ahli Pratama	OH	 Rp39,900 
L.13	Operator Alat Elektronik	OJ	 Rp29,800 
L.14.02	Tenaga Terampil Operator	OH	 Rp39,900 
	Penjaga Malam	OJ	 Rp23,800 
	Tukang Pasang Keramik	OJ	 Rp27,800 
	 HARGA BAHAN DASAR		 Rp- 
M.1	Air	Ltr	 Rp200 
M.2	Agregat Kasar Uk. 38mm	m3	 Rp547,100 
M.3	Agregat Kasar Uk. 38mm	Kg	 Rp400 
M.4	Agregat Pokok	m3	 Rp547,100 
M.5	Agregat Pengunci	m3	 Rp547,100 
M.6	Aggregat Penutup	Kg	 Rp547,100 
M.7	Aspal	Kg	 Rp16,800 
M.8	Ampelas	Lbr	 Rp14,100 
M.9	Anyaman Bambu (Geribig)	Lbr	 Rp956,500 
M.10	Bambu Panjang 2m	Btg	 Rp26,700 
M.11	Bambu Panjang 4m	Btg	 Rp33,200 
M.12	Bambu Panjang 4.5m	Btg	 Rp38,300 
M.13	Bambu Panjang 5m	Btg	 Rp42,100 
M.14	Batu Uk. 12 - 25cm	m3	 Rp610,800 
M.15	Dolken Kayu 8/10cm Panjang 4m	Btg	 Rp34,300 
M.16	Batu Belah	m3	 Rp419,500 
M.17	Ijuk	Kg	 Rp62,900 
M.18	Kerikil	m3	 Rp387,500 
M.19	Kerikil (Maks 19mm)	m3	 Rp387,500 
M.20	Kerikil (Maks 30mm)	m3	 Rp387,500 
M.21	Kerikil (Maks 19mm)	Kg	 Rp200 
M.22	Kerikil (Maks 30mm)	Kg	 Rp200 
M.23	Kuas	Buah	 Rp28,200 
M.24	Pasir Beton	m3	 Rp311,700 
M.25	Pasir Beton	Kg	 Rp200 
M.26	Pasir Filler	m3	 Rp380,100 
M.27	Pasir Urug	m3	 Rp194,700 
M.28	Pasir Pasang	m3	 Rp149,200 
M.29	Pasir Pasang	Kg	 Rp100 
M.30	Pondasi Pasangan Batu (Rollag Bata)	m3	 Rp1,721,700 
M.31	Semen Grout Non Shrink	Kg	 Rp1,900 
M.32	Semen Portland	Sak	 Rp81,700 
M.33	Semen Portland	Kg	 Rp1,600 
M.34	Semen Warna	Kg	 Rp1,500 
M.35	Bata Merah	Buah	 Rp1,200 
M.36	Bata Merah	m3	 Rp1,147,800 
M.37	Bata Pelapis	Buah	 Rp1,200 
M.38	Bata Ringan Tebal 7.5cm	Buah	 Rp14,200 
M.39	Bata Ringan Tebal 10cm	Buah	 Rp16,600 
M.40	Bata Ringan Tebal 20cm	Buah	 Rp21,700 
M.41	Bata Rooster	Buah	 Rp21,000 
M.42	Batako	Buah	 Rp14,000 
M.43	Cat Antara	Kg	 Rp73,400 
M.44	Cat Besi	Kg	 Rp77,600 
M.45	Cat Dasar	Kg	 Rp88,100 
M.46	Cat Epoxy	Kg	 Rp325,200 
M.47	Cat Kayu	Kg	 Rp88,100 
M.48	Cat Penutup Interior	Kg	 Rp49,700 
M.49	Cat Plafond	Kg	 Rp88,100 
M.50	Cat Thermoplast	Kg	 Rp136,000 
M.51	Cat Zyncromate	Kg	 Rp57,100 
M.52	Fondasi Pasangan Batu (Rollag Bata)	m3	 Rp1,721,700 
M.53	Glass Beads	Kg	 Rp48,200 
M.54	Paku	Kg	 Rp31,100 
M.55	Paku 1 - 2.5cm	Kg	 Rp31,100 
M.56	Paku 2 - 5cm	Kg	 Rp31,100 
M.57	Paku 5 - 7cm	Kg	 Rp31,100 
M.58	Paku 5 - 10cm	Kg	 Rp31,100 
M.59	Paku 5 - 12cm	Kg	 Rp31,100 
M.60	Paku Asbes	Kg	 Rp35,700 
M.61	Paku Pancing	Kg	 Rp42,100 
M.62	Paku Pancing 6x23	Kg	 Rp42,100 
M.63	Paku Payung	Kg	 Rp42,100 
M.64	Paku Payung	Buah	 Rp100 
M.65	Paku Rivet	Buah	 Rp900 
M.66	Paku Sekrup	Kg	 Rp44,100 
M.67	Paku Sekrup	Buah	 Rp200 
M.68	Paku Sekrup Fixer	Buah	 Rp200 
M.69	Paku Sekrup 2"	Kg	 Rp44,100 
M.70	Paku Sekrup 3.5”	Buah	 Rp400 
M.71	Paku Seng	Kg	 Rp47,200 
M.72	Paku Tripleks	Kg	 Rp49,700 
M.73	Pen Kuningan Titik Acuan	Buah	 Rp9,600 
M.74	Plastik Aerator	Buah	 Rp45,900 
M.75	Lem Epoxy	Kg	 Rp1,025,700 
M.76	Lem Karet	Kg	 Rp183,400 
M.77	Lem Kayu	Kg	 Rp25,900 
M.78	Makadam (Batu Pecah)	m3	 Rp324,200 
M.79	Menie Besi	Kg	 Rp84,600 
M.80	Menie Kayu	Kg	 Rp84,600 
M.81	Minyak Bekisting	Ltr	 Rp15,900 
M.82	Mortar Perekat Bata Ringan	Kg	 Rp9,200 
M.83	Mortar Siap Pakai	Kg	 Rp9,200 
M.84	Penjaga Jarak Bekisting/Spacer	Buah	 Rp48,200 
M.85	Tinner	Ltr	 Rp32,500 
M.86	Pengencer	Ltr	 Rp43,400 
M.87	Plywood 6mm	Lbr	 Rp133,900 
M.88	Plywood Tebal 4mm	Lbr	 Rp235,200 
M.89	Plywood Tebal 9mm	Lbr	 Rp307,000 
M.90	Plywood Tebal 12mm	Lbr	 Rp409,300 
M.91	Plywood Tebal 18mm	Lbr	 Rp613,900 
M.92	Triplek 4mm	Lbr	 Rp124,100 
M.93	Hollow Galvanis 4x4 (Plafond)	Btg	 Rp44,800 
M.94	Hollow Galvanis 4x4 (Plafond)	m1	 Rp11,200 
M.95	Residu atau Ter	Ltr	 Rp11,600 
M.96	Sirtu	m3	 Rp504,200 
